Date,Cashflow_Local,Loan_Receivable_Local,Cash_On_Hand_Local,Accrued_Interest_Local,Net_Asset_Value_Local,Future_Cashflows_Present_Value_Local,Net_Asset_Present_Value_Local
2025-09-30,-100000000.00,100000000.00,0.00,47500000.00,147500000.00,100000000.00,100000000.00
2025-12-31,2500000.00,100000000.00,2500000.00,45000000.00,147500000.00,99919859.44,102419859.44
2026-03-31,2500000.00,100000000.00,5000000.00,42500000.00,147500000.00,99784599.01,104784599.01
2026-06-30,2500000.00,100000000.00,7500000.00,40000000.00,147500000.00,99672688.30,107172688.30
2026-09-30,2500000.00,100000000.00,10000000.00,37500000.00,147500000.00,99584627.26,109584627.26
2026-12-31,2500000.00,100000000.00,12500000.00,35000000.00,147500000.00,99494435.26,111994435.26
2027-03-31,2500000.00,100000000.00,15000000.00,32500000.00,147500000.00,99349106.59,114349106.59
2027-06-30,2500000.00,100000000.00,17500000.00,30000000.00,147500000.00,99226773.49,116726773.49
2027-09-30,2500000.00,100000000.00,20000000.00,27500000.00,147500000.00,99127921.93,119127921.93
2027-12-31,2500000.00,100000000.00,22500000.00,25000000.00,147500000.00,99026678.30,121526678.30
2028-03-31,2500000.00,100000000.00,25000000.00,22500000.00,147500000.00,98896628.70,123896628.70
2028-06-30,2500000.00,100000000.00,27500000.00,20000000.00,147500000.00,98763466.69,126263466.69
2028-09-30,2500000.00,100000000.00,30000000.00,17500000.00,147500000.00,98653403.76,128653403.76
2028-12-31,2500000.00,100000000.00,32500000.00,15000000.00,147500000.00,98540677.46,131040677.46
2029-03-31,2500000.00,100000000.00,35000000.00,12500000.00,147500000.00,98372776.81,133372776.81
2029-06-30,2500000.00,100000000.00,37500000.00,10000000.00,147500000.00,98227077.75,135727077.75
2029-09-30,2500000.00,100000000.00,40000000.00,7500000.00,147500000.00,98104034.96,138104034.96
2029-12-31,2500000.00,100000000.00,42500000.00,5000000.00,147500000.00,97978014.71,140478014.71
2030-03-31,2500000.00,100000000.00,45000000.00,2500000.00,147500000.00,97796797.88,142796797.88
2030-06-30,2500000.00,100000000.00,47500000.00,0.00,147500000.00,97637314.24,145137314.24
2030-09-30,100000000.00,0.00,147500000.00,0.00,147500000.00,0.00,147500000.00
