Date,Net_Asset_Value_Local
2025-09-30,0.00
2025-12-31,205819255.59
2026-03-31,205505079.74
2026-06-30,205245939.56
2026-09-30,205043254.80
2026-12-31,204834672.66
2027-03-31,204492480.67
2027-06-30,204204202.44
2027-09-30,203971207.00
2027-12-31,203731432.27
2028-03-31,203421254.48
2028-06-30,203102151.17
2028-09-30,202837090.14
2028-12-31,202564316.83
2029-03-31,202157522.23
2029-06-30,201802054.39
2029-09-30,201499165.39
2029-12-31,201187463.44
2030-03-31,200741490.71
2030-06-30,200345275.84
2030-09-30,200000000.00
